08/01/2007 10.00,0.872,0.872,0.872,0.592,0.704,0.77,0.872,0.802,0.608
08/01/2007 11.00,0.872,0.872,0.872,0.872,0.822,0.872,0.865,0.872,0.6
08/01/2007 12.00,0.67,0.872,0.792,0.78,0.872,0.872,0.813,0.696,0.724
08/01/2007 13.00,0.872,0.872,0.872,0.074,0.872,0.788,0.872,0.693,0.612
08/01/2007 14.00,0.872,0.872,0.872,0.031,0.504,0.872,0.872,0.872,0.57
08/01/2007 15.00,0.872,0.872,0.872,0.031,0.071,0.678,0.872,0.872,0.318
08/01/2007 16.00,0.462,0.872,0.872,0.078,0.084,0.545,0.776,0.413,0.872
08/01/2007 17.00,0.359,0.838,0.556,0.101,0.141,0.802,0.74,0.687,0.669
08/01/2007 18.00,0.377,0.469,0.613,0.459,0.58,0.731,0.84,0.806,0.842
08/01/2007 19.00,0.374,0.845,0.554,0.285,0.229,0.872,0.872,0.761,0.766
08/01/2007 20.00,0.872,0.872,0.538,0.696,0.366,0.872,0.872,0.872,0.786
08/01/2007 21.00,0.8,0.793,0.596,0.545,0.482,0.872,0.872,0.72,0.826
08/01/2007 22.00,0.872,0.872,0.593,0.872,0.531,0.872,0.872,0.862,0.667
08/01/2007 23.00,0.872,0.872,0.872,0.455,0.374,0.872,0.872,0.872,0.872
09/01/2007 00.00,0.872,0.872,0.872,0.703,0.357,0.872,0.697,0.872,0.872
09/01/2007 01.00,0.872,0.872,0.872,0.126,0.487,0.872,0.872,0.872,0.872
09/01/2007 02.00,0.872,0.872,0.872,0.329,0.25,0.629,0.872,0.872,0.872
09/01/2007 03.00,0.872,0.872,0.872,0.745,0.135,0.589,0.872,0.872,0.872
09/01/2007 04.00,0.83,0.872,0.812,0.872,0.392,0.576,0.572,0.872,0.872
09/01/2007 05.00,0.872,0.813,0.678,0.872,0.872,0.665,0.63,0.872,0.872
09/01/2007 06.00,0.621,0.807,0.482,0.852,0.872,0.761,0.439,0.872,0.872
09/01/2007 07.00,0.358,0.386,0.438,0.602,0.872,0.872,0.372,0.854,0.834
09/01/2007 08.00,0.111,0.28,0.357,0.406,0.872,0.872,0.255,0.574,0.693
09/01/2007 09.00,0.161,0.065,0.198,0.269,0.567,0.872,0.845,0.525,0.302
09/01/2007 10.00,0.171,0.051,0.242,0.312,0.446,0.789,0.872,0.872,0.736
09/01/2007 11.00,0.182,0.119,0.436,0.761,0.483,0.872,0.872,0.872,0.872
09/01/2007 12.00,0.248,0.221,0.505,0.872,0.872,0.872,0.872,0.872,0.872
09/01/2007 13.00,0.548,0.386,0.465,0.872,0.872,0.747,0.872,0.872,0.872
09/01/2007 14.00,0.354,0.21,0.414,0.872,0.872,0.272,0.49,0.29,0.262
09/01/2007 15.00,0.138,0.113,0.193,0.651,0.644,0.171,0.258,0.142,0.076
09/01/2007 16.00,0.24,0.143,0.274,0.72,0.592,0.34,0.32,0.444,0.153
09/01/2007 17.00,0.385,0.562,0.438,0.841,0.844,0.462,0.395,0.416,0.467
09/01/2007 18.00,0.802,0.872,0.707,0.872,0.872,0.742,0.724,0.6,0.562
09/01/2007 19.00,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.852,0.72
09/01/2007 20.00,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872
09/01/2007 21.00,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872
09/01/2007 22.00,0.795,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.49
09/01/2007 23.00,0.872,0.872,0.872,0.837,0.092,0.872,0.872,0.872,0.872
10/01/2007 00.00,0.872,0.872,0.872,0.872,0.104,0.872,0.872,0.872,0.872
10/01/2007 01.00,0.872,0.872,0.872,0.872,0.354,0.872,0.872,0.872,0.872
10/01/2007 02.00,0.872,0.872,0.872,0.048,0.282,0.872,0.872,0.872,0.872
10/01/2007 03.00,0.872,0.872,0.872,0,0.872,0.872,0.872,0.872,0.872
10/01/2007 04.00,0.872,0.872,0.785,0.459,0.872,0.872,0.872,0.872,0.872
10/01/2007 05.00,0.872,0.872,0.872,0.872,0.769,0.116,0.872,0.866,0.872
10/01/2007 06.00,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.789,0.872
10/01/2007 07.00,0.872,0.872,0.872,0.872,0.413,0.823,0.872,0.872,0.872
10/01/2007 08.00,0.862,0.836,0.872,0.872,0.217,0.136,0.773,0.872,0.872
10/01/2007 09.00,0.872,0.627,0.653,0.872,0.478,0.384,0.872,0.872,0.872
10/01/2007 10.00,0.872,0.872,0.841,0.238,0.703,0.541,0.872,0.872,0.859
10/01/2007 11.00,0.872,0.776,0.628,0.275,0.872,0.181,0.872,0.872,0.872
10/01/2007 12.00,0.484,0.242,0.748,0.616,0.872,0.388,0.872,0.872,0.872
10/01/2007 13.00,0.563,0.371,0.765,0.872,0.872,0.872,0.872,0.872,0.872
10/01/2007 14.00,0.099,0.149,0.121,0.866,0.572,0.12,0.218,0.112,0.186
10/01/2007 15.00,0.066,0.071,0.078,0.763,0.366,0,0.183,0.046,0.052
10/01/2007 16.00,0.207,0.13,0.241,0.262,0.274,0,0.143,0.062,0.076
10/01/2007 17.00,0.194,0.206,0.405,0.093,0.131,0,0.254,0.253,0.135
10/01/2007 18.00,0.137,0.141,0.406,0.122,0.086,0.035,0.116,0.196,0.124
10/01/2007 19.00,0.057,0.089,0.228,0.133,0.036,0.085,0.079,0.112,0.18
10/01/2007 20.00,0.042,0.082,0.158,0.071,0,0.048,0.091,0.086,0.113
10/01/2007 21.00,0.041,0.091,0.118,0.056,0,0,0.067,0.08,0.117
10/01/2007 22.00,0.035,0.121,0.09,0.027,0.028,0,0.088,0.086,0.16
10/01/2007 23.00,0.066,0.181,0.156,0.053,0.033,0,0.19,0.233,0.119
11/01/2007 00.00,0.089,0.157,0.166,0,0.037,0,0.261,0.223,0.447
11/01/2007 01.00,0.047,0.194,0.145,0,0,0.014,0.23,0.23,0.624
11/01/2007 02.00,0.044,0.344,0.137,0,0,0,0.407,0.449,0.836
11/01/2007 03.00,0.064,0.271,0.199,0,0,0,0.425,0.288,0.797
11/01/2007 04.00,0.093,0.396,0.291,0,0,0,0.437,0.32,0.872
11/01/2007 05.00,0.15,0.382,0.422,0,0,0,0.416,0.49,0.872
11/01/2007 06.00,0.206,0.351,0.538,0,0,0.058,0.667,0.318,0.872
11/01/2007 07.00,0.203,0.583,0.563,0.008,0,0.036,0.435,0.793,0.872
11/01/2007 08.00,0.341,0.546,0.605,0,0,0.036,0.46,0.872,0.872
11/01/2007 09.00,0.441,0.429,0.681,0.003,0.009,0.053,0.59,0.85,0.872
11/01/2007 10.00,0.353,0.477,0.64,0.018,0,0.064,0.58,0.735,0.872
11/01/2007 11.00,0.433,0.473,0.63,0.006,0.019,0.105,0.872,0.858,0.872
11/01/2007 12.00,0.483,0.443,0.682,0.037,0.047,0.139,0.872,0.872,0.872
11/01/2007 13.00,0.29,0.493,0.629,0.07,0.034,0.219,0.872,0.872,0.872
11/01/2007 14.00,0.086,0.144,0.26,0,0.001,0.039,0.364,0.306,0.474
11/01/2007 15.00,0.031,0.054,0.087,0,0,0,0.111,0.091,0.157
11/01/2007 16.00,0.038,0.039,0.073,0,0,0,0.109,0.091,0.133
11/01/2007 17.00,0.044,0.002,0.067,0,0,0.017,0.123,0.105,0.161
11/01/2007 18.00,0.027,0,0.047,0,0.013,0.04,0.135,0.128,0.15
11/01/2007 19.00,0,0.008,0.054,0,0.023,0.037,0.124,0.125,0.184
11/01/2007 20.00,0,0.026,0.049,0.012,0.033,0.048,0.142,0.15,0.187
11/01/2007 21.00,0,0.036,0.065,0.026,0.041,0.063,0.146,0.148,0.213
11/01/2007 22.00,0.049,0.069,0.138,0.045,0.105,0.118,0.253,0.28,0.302
11/01/2007 23.00,0.147,0.232,0.337,0.058,0.194,0.198,0.469,0.537,0.691
12/01/2007 00.00,0.166,0.255,0.301,0.02,0.07,0.209,0.872,0.674,0.799
12/01/2007 01.00,0.188,0.271,0.263,0.067,0.132,0.296,0.872,0.786,0.872
12/01/2007 02.00,0.172,0.212,0.293,0.044,0.123,0.355,0.636,0.612,0.872
12/01/2007 03.00,0.136,0.186,0.27,0,0.059,0.193,0.649,0.56,0.78
12/01/2007 04.00,0.072,0.089,0.277,0,0,0.09,0.512,0.612,0.715
12/01/2007 05.00,0.057,0.086,0.171,0,0,0.028,0.438,0.528,0.502
12/01/2007 06.00,0.025,0.199,0.062,0,0,0,0.354,0.387,0.45
12/01/2007 07.00,0.097,0.066,0.119,0,0,0,0.279,0.314,0.466
